name,feed_url,description,language,country_region,owner_type,content_format,update_class,notes
BBC News - World,https://feeds.bbci.co.uk/news/world/rss.xml,"BBC World section: international news, features and analysis from BBC News.",en,UK / global,public service broadcaster,headline+excerpt,high,Standard BBC RSS feed; supports many topical sub-feeds.
CNN - World,http://rss.cnn.com/rss/edition_world.rss,CNN.com World edition: breaking and in-depth world news coverage.,en,US / global,commercial cable news,headline+excerpt,high,Global focus; complements CNN Top Stories feed.
Associated Press - World Top News,http://hosted.ap.org/lineups/WORLDHEADS.rss,AP hosted World Heads: latest world news headlines from Associated Press.,en,US / global,news agency (wire service),headline+excerpt,high,Syndicated wire headlines; widely used by other outlets.
Al Jazeera English - All News,https://www.aljazeera.com/xml/rss/all.xml,"Al Jazeera English combined feed with news, analysis and features.",en,Qatar / global,state-funded international broadcaster,headline+excerpt,high,"Includes world news plus themed sections (economy, conflicts, investigations, etc.)."
Financial Times - World,https://www.ft.com/world?format=rss,"Financial Times World section: global politics, economics, business and markets.",en,UK / global,commercial newspaper,headline+excerpt,high,Paywalled articles; metadata and excerpts are still available via RSS.
NPR - World,https://feeds.npr.org/1004/rss.xml,"NPR World: international politics, culture, business and global trends.",en,US / global,non-profit public media,headline+excerpt,medium,Mix of text stories and audio pieces; stable section-specific feed.
Deutsche Welle - World (EN),https://rss.dw.com/rdf/rss-en-world,DW World: international news from German public broadcaster Deutsche Welle.,en,Germany / global,public international broadcaster,headline+excerpt,high,"Part of DW’s full English RSS catalogue (all, Europe, Africa, business, etc.)."
China Daily - World,http://www.chinadaily.com.cn/rss/world_rss.xml,China Daily English World News feed.,en,China / global,state-run newspaper,headline+excerpt,high,Official English-language outlet; multiple topic-specific RSS feeds.
New York Times - World,https://rss.nytimes.com/services/xml/rss/nyt/World.xml,New York Times World section RSS feed.,en,US / global,commercial newspaper,headline+excerpt,high,Uses standard NYT RSS pattern /services/xml/rss/nyt/{Section}.xml.
Washington Post - World,https://feeds.washingtonpost.com/rss/world,Washington Post World section: breaking world news and analysis.,en,US / global,commercial newspaper,headline+excerpt,high,Dedicated world-only feed; complements homepage and national feeds.
The Guardian - World,https://www.theguardian.com/world/rss,"The Guardian World news, with progressive and independent editorial stance.",en,UK / global,trust-owned newspaper,headline+excerpt,high,Guardian offers many region-specific and topic-specific RSS feeds.
